title,location,distance,description,verdict,rating,experience
Riad Vert,"Médina, Marrakech","1,7 km du centre",Établissement Voyage Durable,Superbe ,"8,6",48 expériences vécues
Riad Deux Palmiers,"Médina, Marrakech","1,5 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,9",7 expériences vécues
Riad Ben Tachfine,"Médina, Marrakech","0,8 km du centre",Établissement Voyage Durable,Superbe ,"8,8",87 expériences vécues
Hotel Salsabil,"Médina, Marrakech","0,8 km du centre","Situé à Marrakech, l'Hotel Salsabil se trouve à 1 km du palais de la Bahia et à 2 km du jardin Majorelle. Gratuit Une connexion Wi-Fi est disponible dans tout l'établissement. ",Bien  ,"7,2",148 expériences vécues
Villa Loubane,Marrakech,"2,7 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,2",48 expériences vécues
Hotel Dar Jossef,"Médina, Marrakech","1,3 km du centre","Situé à Marrakech, à 1,5 km du Jardin Secret, l'Hotel Dar Jossef propose une connexion Wi-Fi gratuite, un service de concierge et un bureau d'excursions. ",Très bien ,"8,0",3 expériences vécues
Riad des Lys,"Kasbah, Marrakech","1,6 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,2",222 expériences vécues
RIAD AZRUR,"Médina, Marrakech","1,6 km du centre","Situé à Marrakech, à 500 mètres du musée orientaliste et à moins de 1 km du musée Boucharouite, le RIAD AZRUR propose des hébergements avec une connexion Wi-Fi gratuite, la climatisation, un...",Superbe ,"8,9",11 expériences vécues
Riad Azenzer,"Médina, Marrakech","1,8 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,0",97 expériences vécues
Riad Alida,"Médina, Marrakech","0,6 km du centre","Situé au cœur de la médina, à 500 mètres de la mosquée Bab Doukkala et à 1 kilomètre de la place Jamaâ El Fna, ce riad possède un toit-terrasse doté de transats et une piscine aménagée dans une cour. ",Superbe ,"8,7",82 expériences vécues
L'Emeraude de la Médina,"Médina, Marrakech","1,6 km du centre",Établissement Voyage Durable,Très bien ,"8,5",32 expériences vécues
Dar Touyir,"Médina, Marrakech",450 m du centre,Établissement Voyage Durable,Superbe ,"8,9",95 expériences vécues
Riad Zebrakaro,"Médina, Marrakech","0,6 km du centre","Doté d'un barbecue et d'une terrasse, le Riad Zebrakaro est situé à Marrakech, à moins de 1 km du Jardin Secret et à 12 minutes à pied du musée Mouassine. ",Fabuleux  ,"9,1",129 expériences vécues
Riad Golfame,"Médina, Marrakech","1,6 km du centre","Situé dans la médina, à 15 minutes de marche de la place Jamaâ El Fna, ce riad comprend une piscine et un hammam. Le toit-terrasse donne sur la médina et les montagnes de l'Atlas. ",Fabuleux  ,"9,4",45 expériences vécues
Riad Smara,"Médina, Marrakech","1,9 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,0",113 expériences vécues
Riad Le Nid Bleu Chambres d'hôtes Marrakech,"Kasbah, Marrakech",2 km du centre,Établissement Voyage Durable,Fabuleux  ,"9,1",49 expériences vécues
Numa Marrakech,"Médina, Marrakech","1,2 km du centre","Idéalement situé dans le centre de Marrakech, le Numa Marrakech vous propose des chambres climatisées, un restaurant, une connexion Wi-Fi gratuite et une piscine extérieure. ",Exceptionnel ,"9,7",177 expériences vécues
Riad Amra,"Médina, Marrakech","0,7 km du centre",Établissement Voyage Durable,Superbe ,"8,6",219 expériences vécues
Riad Chergui,"Médina, Marrakech","0,8 km du centre","Situé à 10 minutes à pied de la place Jamaâ El Fna et de la mosquée Koutoubia, le Riad Chergui dispose d'une piscine extérieure avec un bar au bord de la piscine. ",Fabuleux  ,"9,3",186 expériences vécues
Riad la Cigale,"Médina, Marrakech","1,5 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,7",9 expériences vécues
Riad Haj Thami,"Médina, Marrakech","2,2 km du centre",Établissement Voyage Durable,Très bien ,"8,2",76 expériences vécues
Riad Du Petit Prince,"Médina, Marrakech","0,8 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,0",410 expériences vécues
Riad Spa Sindibad,"Médina, Marrakech","1,2 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,1",672 expériences vécues
Palais Medali,Marrakech,"19,5 km du centre",Établissement Voyage Durable,Bien  ,"7,8",38 expériences vécues
Riad Dar Moulay Ali,"Médina, Marrakech",1 km du centre,"Cet hôtel Riad est situé dans le centre de Marrakech, à quelques pas de la place Jamaâ El Fna. ",Superbe ,"8,8",134 expériences vécues
Riad Dar Zaya,"Médina, Marrakech","1,1 km du centre","Le Riad Dar Zaya est idéalement situé au cœur de la médina, à proximité de la célèbre place Jamaâ El Fna, aux portes des souks qui regorgent de boutiques et de promenades. ",Fabuleux  ,"9,3",32 expériences vécues
Riad Manissa,"Médina, Marrakech","1,6 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,1",168 expériences vécues
Riad Monceau,"Médina, Marrakech","1,3 km du centre","Le Riad Monceau est situé dans la médina, à seulement 1 minute à pied de la place Jamaa El Fna et à 3 minutes de marche des souks. ",Superbe ,"8,8",50 expériences vécues
Riad Le Rubis,"Médina, Marrakech",1 km du centre,Établissement Voyage Durable,Bien  ,"7,2",54 expériences vécues
Riad La Perle de Marrakech,"Médina, Marrakech","1,4 km du centre",Établissement Voyage Durable,Bien  ,"7,4",21 expériences vécues
Appartement Marrakech proche de la gare,"L’Hivernage, Marrakech",2 km du centre,"L'Appartement Marrakech proche de la gare est situé dans le quartier de l'Hivernage à Marrakech, à 800 mètres de la gare, à 2,2 km du jardin de la Ménara et à 3,3 km du jardin Majorelle. ",,,
Riad Des Sables,"Médina, Marrakech","0,5 km du centre",Le Riad Des Sables propose des chambres avec balcon privé dans le centre de Marrakech. Il propose des chambres familiales et une terrasse. ,Fabuleux  ,"9,0",4 expériences vécues
Riad Errabii,"Médina, Marrakech","1,1 km du centre",Établissement Voyage Durable,Superbe ,"8,8",150 expériences vécues
Riad Oasissime,"Médina, Marrakech","1,5 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,2",56 expériences vécues
Riad Charlie,"Médina, Marrakech",2 km du centre,"Le Riad Charlie est situé à Marrakech, à 1,2 km du musée orientaliste de Marrakech, à 1,6 km du musée Boucharouite et à 1,5 km du Jardin Secret. ",,,
Riad Romance,"Médina, Marrakech","1,6 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,5",121 expériences vécues
Ryad Selyen,"Médina, Marrakech","1,5 km du centre","Le Ryad Selyen propose des chambres climatisées dans le quartier de la médina de Marrakech, à 700 mètres du musée orientaliste de Marrakech. ",Exceptionnel ,10,4 expériences vécues
Riad La Vie,"Médina, Marrakech","1,6 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,2",180 expériences vécues
Riad 58 Blu,"Médina, Marrakech","1,7 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,4",41 expériences vécues
Villa Dar Laila,Marrakech,9 km du centre,Établissement Voyage Durable,Fabuleux  ,"9,2",51 expériences vécues
La Palmeraie De L'Atlas,"La Palmeraie, Marrakech","10,2 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,1",34 expériences vécues
Riad Zahri,"Médina, Marrakech","1,5 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,0",338 expériences vécues
Riad Hasna Espi & SPA,"Médina, Marrakech",1 km du centre,Établissement Voyage Durable,Superbe ,"8,9",267 expériences vécues
Riad Les Trois Palmiers El Bacha,"Médina, Marrakech",1 km du centre,Établissement Voyage Durable,Exceptionnel ,"9,5",61 expériences vécues
RIAD ENNAFOURA BOUTIQUE HOTEL,"Médina, Marrakech","1,5 km du centre",Le RIAD ENNAFOURA BOUTIQUE HOTEL propose des chambres avec balcon privé dans le centre de Marrakech. Il propose des chambres familiales et une terrasse bien exposée. ,Exceptionnel ,"9,9",9 expériences vécues
Riad Zamzam,Marrakech,"0,6 km du centre",Établissement Voyage Durable,Note ,"6,8",20 expériences vécues
Nahililan Appartement,"Guéliz, Marrakech","0,7 km du centre","Situé dans le quartier de Gueliz à Marrakech, le Nahililan Appartement dispose de la climatisation, d'un balcon et d'une vue sur la ville. ",Superbe ,"8,8",4 expériences vécues
Riad Nanou - Private Riad with Pool & Rooftop,"Médina, Marrakech","1,1 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,6",9 expériences vécues
Valeria Dar Atlas All Inclusive,"La Palmeraie, Marrakech",11 km du centre,"Situé à Marrakech, à 8 km du palais de la Bahia, le Valeria Dar Atlas All Inclusive dispose d'une terrasse et d'un spa. La médersa Ben Youssef est à 8 km. ",Bien  ,"7,6",471 expériences vécues
Fairmont Royal Palm Marrakech,Marrakech,"12,9 km du centre",Établissement Voyage Durable,Superbe ,"8,7",146 expériences vécues
Dar Halima,"Kasbah, Marrakech",2 km du centre,"Situé à Marrakech, à 1,8 km du palais de la Bahia, le Dar Halima propose un hébergement avec un jardin, un parking privé et une terrasse. ",Fabuleux  ,"9,0",223 expériences vécues
Riad Fabiola Et Spa,"Médina, Marrakech","2,5 km du centre",Établissement Voyage Durable,Très bien ,"8,2",292 expériences vécues
Riad Essaada,"Médina, Marrakech",1 km du centre,"Situé à seulement 8 minutes à pied de la place Jamaâ El Fna, le Riad Essaada dispose d'une piscine et d'une terrasse bien exposée donnant sur l'Atlas. ",Très bien ,"8,2",217 expériences vécues
Riad Feinek. Intimate Riad in the Medina.,Marrakech,"2,2 km du centre","Le Riad Feinek se trouve à moins de 800 mètres du palais de la Bahia et à 1,4 km de la place Jemaa el-Fna. Riad intime dans la médina. Il dispose d'une connexion Wi-Fi gratuite et d'un jardin. ",Note ,"1,0",1 expérience vécue
Riad Irene,"Médina, Marrakech","1,3 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,3",90 expériences vécues
Riad Arjan,"Médina, Marrakech","1,2 km du centre",Établissement Voyage Durable,Bien  ,"7,6",201 expériences vécues
Hotel Riu Tikida Palmeraie - All Inclusive,"La Palmeraie, Marrakech","6,5 km du centre",Établissement Voyage Durable,Bien  ,"7,9",1 892 expériences vécues
villa darga rouge,Marrakech,"14,2 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,0",29 expériences vécues
PRESTIGIA appart golf city pool view,Marrakech,"2,2 km du centre",Établissement Voyage Durable,,,
Riad Timila,"Médina, Marrakech","1,6 km du centre","Installé à Marrakech, le Riad Timila vous propose une piscine extérieure, un toit-terrasse avec jardin ainsi qu'une connexion Wi-Fi gratuite. ",Fabuleux  ,"9,4",5 expériences vécues
Dar Margot,"Médina, Marrakech",2 km du centre,Établissement Voyage Durable,Fabuleux  ,"9,0",51 expériences vécues
Riad Oussari,Marrakech,"17,6 km du centre","Doté d'une piscine, d'un salon commun, d'un jardin et d'une vue sur la piscine, le Riad Oussari est situé à Marrakech et propose des hébergements avec connexion Wi-Fi gratuite. ",Superbe ,"8,6",31 expériences vécues
Riad Zanzibar,"Médina, Marrakech","1,7 km du centre","Le Riad Zanzibar assure un service privé et gratuit de navette aéroport. Il se trouve au cœur de Marrakech, à proximité du musée Dar Si Saïd et à seulement 4 minutes de marche du palais de la Bahia. ",Très bien ,"8,5",163 expériences vécues
Riad Mazaj,"Médina, Marrakech","1,4 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,8",33 expériences vécues
Ibis Marrakech Centre Gare,Marrakech,"1,7 km du centre",Établissement Voyage Durable,Note ,"6,5",1 130 expériences vécues
Riad DAR HOME,"Kasbah, Marrakech","1,8 km du centre","Situé à Marrakech, le Riad DAR HOME propose un hébergement climatisé avec une piscine privée, une vue sur la ville et une terrasse. ",Superbe ,"8,6",18 expériences vécues
Palmerie village dream,"La Palmeraie, Marrakech","6,7 km du centre","Situé à Marrakech, à 6,8 km du musée orientaliste et à 7,1 km du musée Boucharouite, le Palmerie village dream propose des hébergements avec une connexion Wi-Fi gratuite et un jardin avec une...",Note ,"4,0",1 expérience vécue
BAGATELLE STUDIO GUELIZ,"Guéliz, Marrakech","1,3 km du centre","Doté d'un restaurant et d'un bar, le BAGATELLE STUDIO GUELIZ est situé à Marrakech, à moins de 1 km de la gare, à 2,2 km du jardin Majorelle et à 2,5 km du musée Yves Saint Laurent. ",Très bien ,"8,0",4 expériences vécues
RIAD IZZA MARRAKECH,"Médina, Marrakech",1 km du centre,"Doté d'une terrasse, le RIAD IZZA MARRAKECH est situé à Marrakech, à 1,2 km du Jardin Secret, à 1,3 km du jardin Majorelle et à 1,4 km du musée Mouassine. ",,,
Riad Samira,"Médina, Marrakech","1,4 km du centre","Situé à Marrakech, à moins de 500 mètres du musée orientaliste et du musée Boucharouite, le Riad Samira propose des chambres climatisées avec salle de bains privative. ",Superbe ,"8,7",3 expériences vécues
logement booking piscine Gueliz,"L’Hivernage, Marrakech","1,3 km du centre",Établissement Voyage Durable,"Fabuleux  9,0",,25 commentaires externes
Rooms Palace Appart-Hôtel,Marrakech,"0,7 km du centre","Situé à 1,6 km du jardin Majorelle, le Rooms Palace Appart-Hôtel propose un restaurant, une terrasse et une réception ouverte 24h/24. La connexion Wi-Fi est gratuite. ",Note ,"6,6",83 expériences vécues
Riad Vanilla Sma & Spa,"Médina, Marrakech","1,6 km du centre","Doté d'une terrasse avec vue sur la mosquée Koutoubia et la médina, le Riad Vanilla Sma & Spa est situé à 5 minutes à pied de la place Jamaâ El Fna. ",Exceptionnel ,"9,5",124 expériences vécues
Dar Oulhoum,"Médina, Marrakech","1,2 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,3",11 expériences vécues
Agréable appartement au centre de la ville,"Guéliz, Marrakech","1,6 km du centre","Offrant une vue sur la ville, l'Agréable appartement au centre de la ville est situé à Marrakech, à 1,8 km du jardin Majorelle et à 2,1 km du musée Yves Saint Laurent. ",Exceptionnel ,"9,7",9 expériences vécues
Un Riad pour se divertir en famille & se détendre,Marrakech,"2,5 km du centre","Doté d'une piscine extérieure ouverte en saison et d'une terrasse, l'établissement Un Riad pour se divertir en famille & se détendre est situé à Marrakech, à 2,2 km du musée Boucharouite, à 3 km du...",Fabuleux  ,"9,4",9 expériences vécues
RIAD SR 3 chambres,"Médina, Marrakech","1,7 km du centre","Situé à Marrakech, à moins de 1 km du palais de la Bahia et à 8 minutes à pied du musée Boucharouite, Le RIAD SR 3 chambres propose des hébergements avec une piscine extérieure, une terrasse et une...",Exceptionnel ,"9,5",4 expériences vécues
Riad Noga,"Médina, Marrakech","1,7 km du centre","Situé dans la médina de Marrakech, le Riad Noga se trouve à 5 minutes à pied du Palais de la Bahia et à 10 minutes à pied de la place Jamaâ El Fna. ",Exceptionnel ,"9,5",27 expériences vécues
Riad Aventurine,"Médina, Marrakech","1,5 km du centre","Situé à Marrakech, le Riad Aventurine propose un restaurant, une piscine extérieure, un bar et un salon commun. ",Exceptionnel ,"9,8",36 expériences vécues
Flat in Marrakech near Garden Majorelle,Marrakech,"1,5 km du centre","Situé à Marrakech, à 300 mètres du jardin Majorelle, le Flat in Marrakech near Garden Majorelle propose un hébergement avec une terrasse, une connexion Wi-Fi gratuite et une réception ouverte 24h/24. ",Exceptionnel ,10,2 expériences vécues
"Apartment in Marrakesh, Gueliz",Marrakech,"1,3 km du centre","Doté d'un balcon, l'Apartment in Marrakesh, Gueliz est situé à Marrakech. Cet hébergement climatisé se trouve à moins de 1 km du jardin Majorelle. ",Très bien ,"8,2",71 expériences vécues
Holiday signature,"Guéliz, Marrakech","1,5 km du centre","Offrant une vue sur la ville, le Holiday signature propose un hébergement avec un balcon et une machine à café, à environ 2,3 km du jardin Majorelle. ",Exceptionnel ,"9,6",32 expériences vécues
